,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
47,2007.0,9.31,94.0,8.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
48,2012.0,9.16,88.0,8.7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
49,2007.0,8.91,72.0,7.8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,2011.0,8.79,96.0,8.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
51,2015.0,8.57,82.0,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
52,2004.0,8.49,95.0,8.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53,2010.0,8.38,68.0,7.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,2007.0,8.27,62.0,6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,2012.0,8.16,88.0,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,2001.0,8.05,92.0,8.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
57,2009.0,8.01,86.0,7.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
58,1999.0,7.86,90.0,8.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59,2008.0,7.72,83.0,8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60,2005.0,7.69,88.0,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,2014.0,7.66,83.0,5.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
62,2016.0,7.59,85.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
63,2010.0,7.51,97.0,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
64,2008.0,7.38,84.0,7.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
65,2011.0,7.32,84.0,7.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
66,2003.0,7.2,85.0,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
67,2009.0,7.2,49.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
68,2011.0,7.17,85.0,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
69,2015.0,7.16,87.0,6.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
70,1998.0,7.16,96.0,9.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,2006.0,7.15,95.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,1998.0,7.13,91.0,8.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
73,2014.0,7.09,88.0,9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
74,2001.0,7.07,92.0,9.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,2004.0,6.9,82.0,8.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
76,2002.0,6.83,88.0,8.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
77,2012.0,6.76,74.0,7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,2008.0,6.75,93.0,7.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
79,2011.0,6.74,92.0,8.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,2007.0,6.68,94.0,8.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81,2009.0,6.66,96.0,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,2005.0,6.62,74.0,7.4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,2010.0,6.49,95.0,8.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,2013.0,6.47,86.0,4.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,2012.0,6.45,85.0,6.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,2010.0,6.44,87.0,8.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
87,2001.0,6.43,97.0,8.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
88,2011.0,6.41,92.0,6.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
89,2004.0,6.41,76.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
90,2002.0,6.4,85.0,8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
91,2009.0,6.34,83.0,7.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
92,2010.0,6.32,95.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,2002.0,6.31,92.0,8.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
94,2004.0,6.29,93.0,7.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
95,1999.0,6.27,87.0,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,2011.0,6.21,91.0,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
97,2010.0,6.19,73.0,7.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
98,2006.0,6.09,94.0,8.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
99,2014.0,6.08,82.0,5.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
100,2001.0,6.05,96.0,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,1998.0,6.03,94.0,9.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,2008.0,5.99,94.0,8.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,2006.0,5.95,92.0,7.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
104,2013.0,5.87,95.0,9.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,2008.0,5.82,95.0,6.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
106,1998.0,5.82,89.0,9.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,2009.0,5.78,87.0,8.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
108,1996.0,5.74,89.0,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,2014.0,5.64,76.0,6.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
110,2007.0,5.64,80.0,8.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,2006.0,5.63,67.0,7.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
112,2009.0,5.55,91.0,8.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,2007.0,5.54,81.0,7.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,2009.0,5.49,92.0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
115,2001.0,5.49,84.0,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
116,2008.0,5.48,81.0,8.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
117,2011.0,5.48,96.0,8.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,2014.0,5.48,97.0,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,2001.0,5.47,93.0,8.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
120,2001.0,5.42,66.0,7.1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
121,2008.0,5.39,85.0,7.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
122,2016.0,5.38,93.0,7.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
123,2009.0,5.33,83.0,7.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
