,Year_of_Release,Global_Sales,Critic_Score,User_Score,Genre__Action,Genre__Adventure,Genre__Fighting,Genre__Misc,Genre__Platform,Genre__Puzzle,Genre__Racing,Genre__Role-Playing,Genre__Shooter,Genre__Simulation,Genre__Sports,Genre__Strategy,Rating__AO,Rating__E,Rating__E10+,Rating__M,Rating__RP,Rating__T
47,2007.0,8.91,72.0,78.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,2011.0,8.79,96.0,84.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
49,2015.0,8.57,82.0,43.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
50,2004.0,8.49,95.0,82.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
51,2010.0,8.38,68.0,74.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,2007.0,8.27,62.0,63.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,2012.0,8.16,88.0,66.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,2001.0,8.05,92.0,87.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
55,2009.0,8.01,86.0,76.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,1999.0,7.86,90.0,86.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
57,2008.0,7.72,83.0,85.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
58,2005.0,7.69,88.0,76.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,2014.0,7.66,83.0,57.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
60,2016.0,7.59,85.0,50.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
61,2010.0,7.51,97.0,91.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
62,2008.0,7.38,84.0,76.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
63,2011.0,7.32,84.0,74.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
64,2003.0,7.2,85.0,86.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
65,2009.0,7.2,49.0,80.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,2011.0,7.17,85.0,75.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
